Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
O,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,54.36,1.520E-01
O(1D),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,0.00,0.000E+00
O(1S),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9994,1,3,0.00,0.000E+00
O-,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9999,1,3,0.00,0.000E+00
F+,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9979,1,3,53.48,1.520E-01
F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.9984,1,3,0.00,0.000E+00
Na+,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9892,1,3,0.00,0.000E+00
Na,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9897,1,3,371.00,0.000E+00
Na(2p),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.9897,1,3,0.00,0.000E+00
Mg+,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.3050,1,3,0.00,0.000E+00
Mg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.3050,1,3,922.00,0.000E+00
Si+,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0850,1,3,0.00,0.000E+00
Si,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0855,1,3,0.00,0.000E+00
P+,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.9733,1,3,0.00,0.000E+00
P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.9738,1,3,863.15,0.000E+00
S+,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S(1D),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S(1S),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0650,1,3,0.00,0.000E+00
S-,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.0660,1,3,0.00,0.000E+00
Cl+,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.4530,1,3,0.00,0.000E+00
Cl,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.4530,1,3,172.17,1.390E+00
Fe+,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9380,1,3,0.00,0.000E+00
Fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.9380,1,3,678.00,8.200E+06
H2+,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0154,2,5,0.00,0.000E+00
H2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0159,2,5,13.84,7.040E+00
HeH+,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0100,2,5,0.00,0.000E+00
CH+,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0181,2,5,0.00,0.000E+00
CH,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0186,2,5,0.00,0.000E+00
CH-,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0191,2,5,0.00,0.000E+00
NH+,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0141,2,5,0.00,0.000E+00
NH,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0146,2,5,0.00,0.000E+00
NH(X3S),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0146,2,5,0.00,0.000E+00
NH(a1D),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0146,2,5,0.00,0.000E+00
OH+,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0068,2,5,0.00,0.000E+00
OH,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0074,2,5,0.00,0.000E+00
OH-,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0079,2,5,0.00,0.000E+00
HF+,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0058,2,5,0.00,0.000E+00
HF,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0063,2,5,0.00,0.000E+00
NaH,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.9997,2,5,0.00,0.000E+00
C2+,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0209,2,5,0.00,0.000E+00
C2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0214,2,5,0.00,0.000E+00
C2-,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0219,2,5,0.00,0.000E+00
CN+,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0169,2,5,0.00,0.000E+00
CN,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0174,2,5,0.00,0.000E+00
CN-,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0179,2,5,0.00,0.000E+00
N2+,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0129,2,5,0.00,0.000E+00
N2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0134,2,5,63.18,1.260E+01
N2(1S),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0134,2,5,0.00,0.000E+00
CO+,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0096,2,5,0.00,0.000E+00
CO,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0101,2,5,68.10,1.537E+01
CO(a3P),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0101,2,5,0.00,0.000E+00
SiH+,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0929,2,5,0.00,0.000E+00
SiH,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.0934,2,5,0.00,0.000E+00
CF+,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31.0086,2,5,0.00,0.000E+00
NO+,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0056,2,5,0.00,0.000E+00
NO,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0061,2,5,109.50,2.192E+01
PH+,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.9812,2,5,0.00,0.000E+00
PH,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31.9817,2,5,0.00,0.000E+00
O2+,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31.9983,2,5,0.00,0.000E+00
O2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31.9988,2,5,54.36,1.520E-01
O2-,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31.9993,2,5,0.00,0.000E+00
HS+,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.0724,2,5,0.00,0.000E+00
HS,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.0729,2,5,0.00,0.000E+00
HCl+,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.4604,2,5,0.00,0.000E+00
HCl,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36.4609,2,5,158.96,1.390E+01
SiC+,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40.0957,2,5,0.00,0.000E+00
SiC,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40.0962,2,5,0.00,0.000E+00
CP+,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.9840,2,5,0.00,0.000E+00
CP,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.9845,2,5,0.00,0.000E+00
SiN+,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0917,2,5,0.00,0.000E+00
SiN,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,42.0922,2,5,0.00,0.000E+00
CS+,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0752,2,5,0.00,0.000E+00
CS,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0757,2,5,161.11,0.000E+00
CS(a3P),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0757,2,5,0.00,0.000E+00
CS(A1P),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44.0757,2,5,0.00,0.000E+00
PN+,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,44.9800,2,5,0.00,0.000E+00
PN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,44.9805,2,5,0.00,0.000E+00
SiO+,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44.0844,2,5,0.00,0.000E+00
SiO,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44.0849,2,5,0.00,0.000E+00
Na2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,45.9795,2,5,0.00,0.000E+00
CCl+,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.4632,2,5,0.00,0.000E+00
CCl,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.4637,2,5,0.00,0.000E+00
NS+,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0712,2,5,0.00,0.000E+00
NS,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0717,2,5,0.00,0.000E+00
PO+,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46.9727,2,5,0.00,0.000E+00
PO,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,46.9732,2,5,0.00,0.000E+00
SiF+,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,47.0834,2,5,0.00,0.000E+00
SO+,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,48.0639,2,5,0.00,0.000E+00
SO,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,48.0644,2,5,0.00,0.000E+00
ClO+,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,51.4520,2,5,0.00,0.000E+00
ClO,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,51.4520,2,5,0.00,0.000E+00
NaCl,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,58.4417,2,5,0.00,0.000E+00
SiS+,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60.1500,2,5,0.00,0.000E+00
SiS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60.1505,2,5,0.00,0.000E+00
S2+,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,64.1295,2,5,0.00,0.000E+00
S2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,64.1300,2,5,0.00,0.000E+00
H3+,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0234,3,6,0.00,0.000E+00
CH2+,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0261,3,6,0.00,0.000E+00
CH2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0266,3,6,0.00,0.000E+00
NH2+,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0221,3,6,0.00,0.000E+00
NH2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0226,3,6,0.00,0.000E+00
NH2(X2B),0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0226,3,6,0.00,0.000E+00
H2O+,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0148,3,6,0.00,0.000E+00
H2O,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0153,3,6,273.16,6.117E-01
H2F+,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.0138,3,6,0.00,0.000E+00
C2H+,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0288,3,6,0.00,0.000E+00
C2H,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0293,3,6,0.00,0.000E+00
C2H-,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0298,3,6,0.00,0.000E+00
HCN,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0253,3,5,259.86,0.000E+00
HCN+,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0248,3,5,0.00,0.000E+00
HNC,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0253,3,6,0.00,0.000E+00
HOC+,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0175,3,6,0.00,0.000E+00
HCO+,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0175,3,6,0.00,0.000E+00
HCO,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29.0180,3,6,0.00,0.000E+00
N2H+,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0208,3,6,0.00,0.000E+00
SiH2+,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.1009,3,6,0.00,0.000E+00
SiH2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.1014,3,6,0.00,0.000E+00
HNO+,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0135,3,6,0.00,0.000E+00
HNO,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31.0140,3,6,0.00,0.000E+00
O2H+,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33.0062,3,6,0.00,0.000E+00
O2H,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33.0067,3,6,0.00,0.000E+00
PH2+,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.9891,3,6,0.00,0.000E+00
PH2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.9896,3,6,0.00,0.000E+00
H2S+,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.0804,3,6,0.00,0.000E+00
H2S,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34.0809,3,6,187.66,0.000E+00
C3+,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0316,3,6,0.00,0.000E+00
C3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0321,3,6,0.00,0.000E+00
C3-,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0326,3,6,0.00,0.000E+00
H2Cl+,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.4684,3,6,0.00,0.000E+00
CNC+,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0276,3,6,0.00,0.000E+00
C2N+,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0276,3,6,0.00,0.000E+00
C2N,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0281,3,6,0.00,0.000E+00
C2O+,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0203,3,6,0.00,0.000E+00
C2O,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0208,3,5,0.00,0.000E+00
NaOH,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,39.9971,3,6,0.00,0.000E+00
HCSi+,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.1036,3,6,0.00,0.000E+00
HCSi,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41.1041,3,6,0.00,0.000E+00
OCN,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0168,3,6,0.00,0.000E+00
OCN+,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0163,3,6,0.00,0.000E+00
CNO,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0168,3,6,0.00,0.000E+00
HCP+,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.9919,3,5,0.00,0.000E+00
HCP,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.9924,3,5,0.00,0.000E+00
HNSi+,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,43.0996,3,6,0.00,0.000E+00
HNSi,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,43.1001,3,6,0.00,0.000E+00
N2O,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0128,3,5,182.34,8.785E+01
N2O+,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0123,3,5,0.00,0.000E+00
CO2+,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.0090,3,5,0.00,0.000E+00
CO2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44.0095,3,5,216.55,5.17E+02
HCS+,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.0831,3,6,0.00,0.000E+00
HCS,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45.0836,3,6,0.00,0.000E+00
HPN+,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,45.9879,3,6,0.00,0.000E+00
SiOH+,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45.0923,3,6,0.00,0.000E+00
NO2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,46.0055,3,6,0.00,0.000E+00
NO2+,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,46.0050,3,6,0.00,0.000E+00
HPO,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47.9811,3,6,0.00,0.000E+00
HPO+,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47.9806,3,6,0.00,0.000E+00
HNS+,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,47.0791,3,4,0.00,0.000E+00
HSO+,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,49.0718,3,6,0.00,0.000E+00
SiC2+,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52.1064,3,6,0.00,0.000E+00
SiC2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52.1069,3,6,0.00,0.000E+00
CCP+,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.9947,3,6,0.00,0.000E+00
CCP,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.9952,3,6,0.00,0.000E+00
SiNC+,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,54.1024,3,6,0.00,0.000E+00
SiNC,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,54.1029,3,6,0.00,0.000E+00
C2S,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.0864,3,6,0.00,0.000E+00
C2S+,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56.0859,3,6,0.00,0.000E+00
OCS+,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,60.0746,3,5,0.00,0.000E+00
OCS,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,60.0751,3,5,134.31,0.000E+00
SiO2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,60.0843,3,6,0.00,0.000E+00
HSiS+,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,61.1579,3,6,0.00,0.000E+00
SO2+,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,64.0633,3,6,0.00,0.000E+00
SO2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,64.0638,3,6,197.69,1.670E+00
HS2+,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,65.1374,3,6,0.00,0.000E+00
HS2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,65.1379,3,6,0.00,0.000E+00
CS2+,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,76.1402,3,5,0.00,0.000E+00
CS2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,76.1407,3,5,161.11,0.000E+00
CH3+,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0340,4,6,0.00,0.000E+00
CH3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0345,4,6,0.00,0.000E+00
NH3+,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0300,4,6,0.00,0.000E+00
NH3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0305,4,6,195.40,6.076E+00
H3O+,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0227,4,6,0.00,0.000E+00
H3O+1W,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37.0380,7,6,0.00,0.000E+00
C2H2+,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0368,4,6,0.00,0.000E+00
C2H2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0373,4,6,192.40,1.200E+02
HCNH+,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0328,4,6,0.00,0.000E+00
H2CN,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0333,4,6,0.00,0.000E+00
H2NC+,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0328,4,6,0.00,0.000E+00
H2CO+,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0255,4,6,0.00,0.000E+00
H2CO,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30.0260,4,6,155.10,0.000E+00
SiH3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.1093,4,6,0.00,0.000E+00
SiH3+,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31.1088,4,6,0.00,0.000E+00
H2NO+,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32.0215,4,6,0.00,0.000E+00
PH3+,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.9971,4,6,0.00,0.000E+00
H2O2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34.0147,4,6,0.00,0.000E+00
H3S+,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.0883,4,6,0.00,0.000E+00
C3H+,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0395,4,6,0.00,0.000E+00
C3H,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0400,4,5,0.00,0.000E+00
C3H-,-1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0405,4,6,0.00,0.000E+00
C2NH+,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0355,4,6,0.00,0.000E+00
HC2O+,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41.0282,4,6,0.00,0.000E+00
SiCH2+,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.1116,4,6,0.00,0.000E+00
SiCH2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42.1121,4,6,0.00,0.000E+00
HCNO+,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0242,4,6,0.00,0.000E+00
HCNO,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0247,4,6,0.00,0.000E+00
HNCO+,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0242,4,5,0.00,0.000E+00
HNCO,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0247,4,5,0.00,0.000E+00
HOCN+,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0242,4,5,0.00,0.000E+00
HOCN,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0247,4,5,0.00,0.000E+00
HONC+,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0242,4,6,0.00,0.000E+00
HONC,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43.0247,4,6,0.00,0.000E+00
PCH2+,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44.9998,4,6,0.00,0.000E+00
SiNH2+,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,44.1076,4,6,0.00,0.000E+00
HCO2+,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45.0169,4,6,0.00,0.000E+00
HN2O+,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,45.0202,4,6,0.00,0.000E+00
H2CS+,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0923,4,6,0.00,0.000E+00
H2CS,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46.0928,4,6,0.00,0.000E+00
PNH2+,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46.9958,4,6,0.00,0.000E+00
H2SiO+,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46.1002,4,6,0.00,0.000E+00
H2SiO,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46.1007,4,6,0.00,0.000E+00
C4+,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0423,4,6,0.00,0.000E+00
C4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0428,4,6,0.00,0.000E+00
C4-,-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0433,4,6,0.00,0.000E+00
H2CCl+,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.4903,4,6,0.00,0.000E+00
H2PO+,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48.9885,4,6,0.00,0.000E+00
C3N+,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0383,4,6,0.00,0.000E+00
C3N,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0388,4,6,0.00,0.000E+00
C3N-,-1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0393,4,6,0.00,0.000E+00
C3O+,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52.0310,4,6,0.00,0.000E+00
