Species,+/-,H,He,C,N,O,F,P,S,Cl,Na,Mg,Al,Si,K,Ca,Ti,Fe,MolMass,n,f,T3[K],P3[kPa]
SiC3H2+,1,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66.1330,6,6,0.00,0.000E+00
C6+,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0637,6,6,0.00,0.000E+00
C6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0642,6,6,0.00,0.000E+00
C6-,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0647,6,6,0.00,0.000E+00
C5N+,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0597,6,6,0.00,0.000E+00
C5N,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0602,6,6,0.00,0.000E+00
C5N-,-1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0607,6,6,0.00,0.000E+00
SiC4H+,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77.1357,6,6,0.00,0.000E+00
PC4H+,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0240,6,6,0.00,0.000E+00
HC4S+,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81.1152,6,6,0.00,0.000E+00
C2H5+,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0606,7,6,0.00,0.000E+00
C2H5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0611,7,6,0.00,0.000E+00
CH3NH2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0571,7,6,179.70,0.000E+00
CH3OH2+,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.0493,7,6,0.00,0.000E+00
C3H4+,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0641,7,6,0.00,0.000E+00
C3H4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0646,7,6,136.59,0.000E+00
CH2CCH2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0639,7,6,168.50,0.000E+00
CH3CCH,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0639,7,6,0.00,0.000E+00
CH3CNH+,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0594,7,6,0.00,0.000E+00
CH3CHO+,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0521,7,6,0.00,0.000E+00
CH3CHO,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44.0526,7,6,160.65,0.000E+00
C4H3+,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0661,7,6,0.00,0.000E+00
C4H3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0666,7,6,0.00,0.000E+00
AcNit+,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0621,7,6,0.00,0.000E+00
AcNit,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0626,7,6,189.63,0.000E+00
H3C3O+,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.0548,7,6,0.00,0.000E+00
PC2H4+,1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59.0264,7,6,0.00,0.000E+00
C5H2+,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0689,7,6,0.00,0.000E+00
C5H2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0694,7,6,0.00,0.000E+00
H2C4N+,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0649,7,6,0.00,0.000E+00
